Factor,Sweep,Value,DeltaDampingRatio,DeltaSigma,DeltaMaxReal
DVC type effect (Type a to Type c),C_dc,0.00286538461538462,7.54065403162137e-05,-0.000948520862736113,-0.000948520862736113
DVC type effect (Type a to Type c),C_dc,0.00293269230769231,7.72076046414976e-05,-0.000971174096338068,-0.000971174096338068
DVC type effect (Type a to Type c),C_dc,0.003,7.90100440019887e-05,-0.000993844530472049,-0.000993844530472049
APCAD damping effect after Type c,C_dc,0.000375,0.0253122598913261,-0.314798691237126,-0.314798691237126
APCAD damping effect after Type c,C_dc,0.000442307692307692,0.0253112490209224,-0.314788361080157,-0.314788361080157
APCAD damping effect after Type c,C_dc,0.000509615384615385,0.0253102375177882,-0.314778024110823,-0.314778024110823
APCAD damping effect after Type c,C_dc,0.000576923076923077,0.0253092253447579,-0.314767679868821,-0.314767679868821
APCAD damping effect after Type c,C_dc,0.000644230769230769,0.0253082125229817,-0.314757328619233,-0.314757328619233
APCAD damping effect after Type c,C_dc,0.000711538461538462,0.0253071990824842,-0.314746970726724,-0.314746970726724
APCAD damping effect after Type c,C_dc,0.000778846153846154,0.0253061849467791,-0.314736605262462,-0.314736605262462
APCAD damping effect after Type c,C_dc,0.000846153846153846,0.0253051701875704,-0.314726233090176,-0.314726233090176
APCAD damping effect after Type c,C_dc,0.000913461538461539,0.0253041547769518,-0.314715853880817,-0.314715853880817
APCAD damping effect after Type c,C_dc,0.000980769230769231,0.0253031386986421,-0.314705467429462,-0.314705467429462
APCAD damping effect after Type c,C_dc,0.00104807692307692,0.0253021219590806,-0.314695073815781,-0.314695073815781
APCAD damping effect after Type c,C_dc,0.00111538461538462,0.0253011045867901,-0.314684673392678,-0.314684673392678
APCAD damping effect after Type c,C_dc,0.00118269230769231,0.0253000865555254,-0.314674265834599,-0.314674265834599
APCAD damping effect after Type c,C_dc,0.00125,0.025299067893287,-0.314663851483963,-0.314663851483963
APCAD damping effect after Type c,C_dc,0.00131730769230769,0.0252980485262962,-0.314653429449685,-0.314653429449685
APCAD damping effect after Type c,C_dc,0.00138461538461538,0.0252970285489437,-0.314643000862926,-0.314643000862926
APCAD damping effect after Type c,C_dc,0.00145192307692308,0.0252960078479733,-0.314632564370851,-0.314632564370851
APCAD damping effect after Type c,C_dc,0.00151923076923077,0.0252949865343674,-0.314622121301575,-0.314622121301575
APCAD damping effect after Type c,C_dc,0.00158653846153846,0.0252939645617923,-0.314611671102651,-0.314611671102651
APCAD damping effect after Type c,C_dc,0.00165384615384615,0.0252929419030562,-0.314601213438556,-0.314601213438556
APCAD damping effect after Type c,C_dc,0.00172115384615385,0.0252919185938528,-0.31459074874821,-0.31459074874821
APCAD damping effect after Type c,C_dc,0.00178846153846154,0.025290894629641,-0.314580276973063,-0.314580276973063
APCAD damping effect after Type c,C_dc,0.00185576923076923,0.0252898699926375,-0.314569797899829,-0.314569797899829
APCAD damping effect after Type c,C_dc,0.00192307692307692,0.0252888447065888,-0.314559311815906,-0.314559311815906
APCAD damping effect after Type c,C_dc,0.00199038461538462,0.0252878187573355,-0.314548818547219,-0.314548818547219
APCAD damping effect after Type c,C_dc,0.00205769230769231,0.0252867921093474,-0.314538317659785,-0.314538317659785
APCAD damping effect after Type c,C_dc,0.002125,0.025285764808102,-0.314527809719237,-0.314527809719237
APCAD damping effect after Type c,C_dc,0.00219230769230769,0.0252847368561086,-0.314517294737537,-0.314517294737537
APCAD damping effect after Type c,C_dc,0.00225961538461539,0.0252837082191858,-0.314506772306095,-0.314506772306095
APCAD damping effect after Type c,C_dc,0.00232692307692308,0.0252826789448734,-0.314496243023268,-0.314496243023268
APCAD damping effect after Type c,C_dc,0.00239423076923077,0.0252816489605408,-0.31448570598153,-0.31448570598153
APCAD damping effect after Type c,C_dc,0.00246153846153846,0.0252806183298706,-0.314475161961783,-0.314475161961783
APCAD damping effect after Type c,C_dc,0.00252884615384615,0.025279587021441,-0.314464610576283,-0.314464610576283
APCAD damping effect after Type c,C_dc,0.00259615384615385,0.0252785550616621,-0.314454052155493,-0.314454052155493
APCAD damping effect after Type c,C_dc,0.00266346153846154,0.0252775223865799,-0.314443485925879,-0.314443485925879
APCAD damping effect after Type c,C_dc,0.00273076923076923,0.0252764890692984,-0.314432912763411,-0.314432912763411
APCAD damping effect after Type c,C_dc,0.00279807692307692,0.0252754550455423,-0.314422331895704,-0.314422331895704
APCAD damping effect after Type c,C_dc,0.00286538461538462,0.0252744203908379,-0.314411744236116,-0.314411744236116
APCAD damping effect after Type c,C_dc,0.00293269230769231,0.0252733850338599,-0.314401148923008,-0.314401148923008
APCAD damping effect after Type c,C_dc,0.003,0.0252723489917639,-0.314390546157854,-0.314390546157854
DVC type effect (Type a to Type c),k_ff_msc_typec,0,0,0,0
DVC type effect (Type a to Type c),k_ff_msc_typec,6.29767897641245e-05,2.00859210316637e-06,-2.5266616477726e-05,-2.5266616477726e-05
DVC type effect (Type a to Type c),k_ff_msc_typec,0.000125953579528249,4.01718685187624e-06,-5.053326340132e-05,-5.053326340132e-05
DVC type effect (Type a to Type c),k_ff_msc_typec,0.000188930369292373,6.02578875621637e-06,-7.57999981144675e-05,-7.57999981144675e-05
DVC type effect (Type a to Type c),k_ff_msc_typec,0.000251907159056498,8.03438648639375e-06,-0.00010106667721943,-0.00010106667721943
DVC type effect (Type a to Type c),k_ff_msc_typec,0.000314883948820622,1.00429963296941e-05,-0.000126333506568432,-0.000126333506568432
DVC type effect (Type a to Type c),k_ff_msc_typec,0.000377860738584747,1.20515990673174e-05,-0.000151600243406547,-0.000151600243406547
DVC type effect (Type a to Type c),k_ff_msc_typec,0.000440837528348871,1.40602083548956e-05,-0.00017686706031439,-0.00017686706031439
DVC type effect (Type a to Type c),k_ff_msc_typec,0.000503814318112996,1.60688252085917e-05,-0.000202133969877893,-0.000202133969877893
DVC type effect (Type a to Type c),k_ff_msc_typec,0.00056679110787712,1.80774372014383e-05,-0.00022740081519923,-0.00022740081519923
DVC type effect (Type a to Type c),k_ff_msc_typec,0.000629767897641245,2.00860585337723e-05,-0.000252667775891391,-0.000252667775891391
DVC type effect (Type a to Type c),k_ff_msc_typec,0.000692744687405369,2.20946764529183e-05,-0.000277934690434911,-0.000277934690434911
