Model,Parameter,Value,Sigma,FrequencyHz,DampingRatio,MaxReal,Stable
GFM-MWT,mp,7.87263065618215e-06,-0.0829547633709071,1.99719918321343,0.0066104434082648,-0.0152541592183435,1
GFM-MWT,mp,8.83323688013975e-06,-0.0829563663460667,1.99719460989264,0.00661058627619238,-0.0152535613479251,1
GFM-MWT,mp,9.9110547907375e-06,-0.0829579814502229,1.99719053518926,0.00661072846090448,-0.0152530330370652,1
GFM-MWT,mp,1.11203863768054e-05,-0.0829595686743929,1.99718690485613,0.0066108669537565,-0.015252561773345,1
GFM-MWT,mp,1.24772787337438e-05,-0.0829611005552066,1.99718367048402,0.00661099972646732,-0.015252139513318,1
GFM-MWT,mp,1.39997369987299e-05,-0.0829625592957832,1.99718078889726,0.00661112550370846,-0.00190782315759516,1
GFM-MWT,mp,1.5707963267949e-05,-0.082963933262687,1.9971782215978,0.00661124348581066,0.010065508753141,0
GFM-MWT,mp,1.76246246661361e-05,-0.0829652164069922,1.99717593427717,0.00661135330424903,0.0207378104960243,0
GFM-MWT,mp,1.97751541255503e-05,-0.0829664068611274,1.99717389637544,0.00661145491129363,0.0302503482903074,0
GFM-MWT,mp,2.21880878655331e-05,-0.0829675046362132,1.99717208065224,0.00661154839794144,0.0387290638532607,0
GFM-MWT,mp,2.48954440508016e-05,-0.0829685126835801,1.99717046286151,0.00661163407957906,0.0462862520361524,0
GFM-MWT,mp,2.79331476530414e-05,-0.0829694342793565,1.997169021389,0.00661171228877224,0.0530220111338542,0
GFM-MWT,mp,3.1341507153454e-05,-0.0829702744335721,1.99716773699838,0.00661178348838948,0.0590255971205913,0
GFM-MWT,mp,3.51657494118124e-05,-0.0829710375997606,1.9971665925387,0.00661184809005863,0.0643765478444852,0
GFM-MWT,mp,3.94566197994119e-05,-0.082971729608808,1.99716557275329,0.00661190660889725,0.0691457963214301,0
GFM-MWT,mp,4.42710555593164e-05,-0.0829723555314213,1.99716466403959,0.00661195949397714,0.0733965514466368,0
GFM-MWT,mp,4.96729413289805e-05,-0.0829729209181431,1.99716385429087,0.00661200722765812,0.0771851733096955,0
GFM-MWT,mp,5.57339568505748e-05,-0.0829734306474919,1.99716313271346,0.00661205023440631,0.0805618921811848,0
GFM-MWT,mp,6.25345281176143e-05,-0.0829738894927866,1.99716248969668,0.00661208892639132,0.0835714695186557,0
GFM-MWT,mp,7.01648945790283e-05,-0.0829743023122984,1.99716191668429,0.00661212371906379,0.086253828771468,0
GFM-MWT,mp,7.87263065618215e-05,-0.0829746730007113,1.99716140604237,0.00661215494803905,0.0886445267332017,0
