Model,Scan,XParameter,YParameter,XFactor,YFactor,XValue,YValue,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT,h_mp,h,mp,0.034145488738336,0.0135935639087853,17.2983066750716,2.13527202559716e-08,1718.24909514827,0.115862078144638,1.99992138173417,-0.00921998176031838,0
GFM-MWT,h_mp,h,mp,0.034145488738336,0.0184784979742229,17.2983066750716,2.90259567425963e-08,1718.24902199854,0.115806116856107,2.00002391830156,-0.00921505647641367,0
GFM-MWT,h_mp,h,mp,0.034145488738336,0.0251188643150958,17.2983066750716,3.94566197994119e-08,1718.24895958495,0.115730447078917,2.00016326974445,-0.00920839416594173,0
GFM-MWT,h_mp,h,mp,0.034145488738336,0.034145488738336,17.2983066750716,5.36356082867947e-08,1718.24890929568,0.115628327751586,2.00035263834157,-0.00919939857023336,0
GFM-MWT,h_mp,h,mp,0.034145488738336,0.0464158883361278,17.2983066750716,7.29099069033116e-08,1718.24887012434,0.115490886029664,2.00060994747525,-0.00918728294234881,0
GFM-MWT,h_mp,h,mp,0.034145488738336,0.0630957344480193,17.2983066750716,9.9110547907375e-08,1718.24884023075,0.115306599571271,2.00095951849419,-0.00917102187800372,0
GFM-MWT,h_mp,h,mp,0.034145488738336,0.0857695898590894,17.2983066750716,1.34726556701362e-07,1718.24881770392,0.115060806221587,2.0014343334382,-0.00914930321574855,0
GFM-MWT,h_mp,h,mp,0.034145488738336,0.116591440117983,17.2983066750716,1.83141405873055e-07,1718.24880086306,0.114735436172602,2.00207907990456,-0.00912049503330878,0
GFM-MWT,h_mp,h,mp,0.034145488738336,0.158489319246111,17.2983066750716,2.48954440508015e-07,1718.24878833712,0.11430939506079,2.00295423259294,-0.00908266127343541,0
GFM-MWT,h_mp,h,mp,0.034145488738336,0.215443469003188,17.2983066750716,3.38417809742158e-07,1718.24877905154,0.113760491167578,2.00414149440888,-0.00903369635211339,0
GFM-MWT,h_mp,h,mp,0.034145488738336,0.292864456462524,17.2983066750716,4.60030412460116e-07,1718.24877218449,0.113070716208445,2.00575099171873,-0.008971721418898,0
GFM-MWT,h_mp,h,mp,0.034145488738336,0.398107170553497,17.2983066750716,6.25345281176143e-07,1718.24876711331,0.112238488498188,2.00793067291875,-0.00889602595938339,0
GFM-MWT,h_mp,h,mp,0.034145488738336,0.541169526546464,17.2983066750716,8.50067104472518e-07,1718.24876337273,0.111304993495633,2.01087834153712,-0.00880911201362482,0
GFM-MWT,h_mp,h,mp,0.034145488738336,0.735642254459641,17.2983066750716,1.15554415114032e-06,1718.24876061545,0.110408642270644,2.01485651749179,-0.00872092518447171,0
GFM-MWT,h_mp,h,mp,0.034145488738336,1,17.2983066750716,1.5707963267949e-06,1718.2487585841,0.109894947360334,2.02020946164935,-0.00865735408381403,0
