Model,Scan,Value,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT+AD,K_damp,2333333.33333333,1718.24855511344,0.185150104106913,2.00758406998499,-0.0146765362835984,0
GFM-MWT+AD,K_damp,2500000,1718.24855511365,0.188582583866887,2.00806966585268,-0.0149449488269365,0
GFM-MWT+AD,K_damp,2666666.66666667,1718.24855511393,0.192010367742263,2.00855290475317,-0.0152128742388115,0
GFM-MWT+AD,K_damp,2833333.33333333,1718.24855511405,0.195433416298615,2.00903381058388,-0.0154803104643489,0
GFM-MWT+AD,K_damp,3000000,1718.24855511408,0.198851691972601,2.00951240696141,-0.0157472555855225,0
GFM-MWT+AD,K_damp,3166666.66666667,1718.24855511339,0.202265159010207,2.00998871722346,-0.0160137078163021,0
GFM-MWT+AD,K_damp,3333333.33333333,1718.24855511349,0.20567378340429,2.01046276442821,-0.0162796654977745,0
GFM-MWT+AD,K_damp,3500000,1718.2485551137,0.209077532862916,2.01093457136447,-0.0165451270956202,0
GFM-MWT+AD,K_damp,3666666.66666667,1718.24855511317,0.212476376736588,2.01140416054717,-0.0168100911944589,0
GFM-MWT+AD,K_damp,3833333.33333333,1718.24855511409,0.215870285978137,2.0118715542229,-0.0170745564947044,0
GFM-MWT+AD,K_damp,4000000,1718.24855511342,0.219259233083139,2.01233677436877,-0.017338521807939,0
GFM-MWT+AD,K_damp,4166666.66666667,1718.24855511386,0.222643192038291,2.01279984269544,-0.0176019860528893,0
GFM-MWT+AD,K_damp,4333333.33333333,1718.24855511351,0.226022138299663,2.01326078065552,-0.0178649482537188,0
GFM-MWT+AD,K_damp,4500000,1718.24855511372,0.229396048712668,2.01371960943796,-0.0181274075338393,0
GFM-MWT+AD,K_damp,4666666.66666667,1718.24855511361,0.232764901481953,2.01417634997163,-0.0183893631135945,0
GFM-MWT+AD,K_damp,4833333.33333333,1718.24855511402,0.236128676149473,2.01463102293706,-0.0186508143085161,0
GFM-MWT+AD,K_damp,5000000,1718.24855511373,0.239487353489473,2.01508364875068,-0.0189117605212714,0
