Stage,Index,CurrentScale,VoltageScale,Kpi,Kii,Kpv,Kiv,BetaV,BetaI,Kdamp,ZetaDamp,AlphaLead,TLeadDamp,MaxReal,DominantSigma,DominantFrequencyHz,TorsionSigma,TorsionFrequencyHz,TorsionDampingRatio,Stable
stage1,2306,0.00237137370566166,0.133352143216332,0.000474274741132331,0.000790457901887218,0.0146687357537966,35.2049658091118,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.813766558221,832.813766558221,2247.02531161715,0.0168160693834554,1.9843707480201,-0.00134871879875056,0
stage1,3108,0.00316227766016838,1,0.000632455532033676,0.00105409255338946,0.11,264,0.2,0.5,-5000000,0.2,0.3,0.0795774715459477,832.817855197824,832.817855197824,2246.94008298405,0.0166499551977249,1.98433169891223,-0.00133542205194603,0
stage1,2281,0.00237137370566166,0.1,0.000474274741132331,0.000790457901887218,0.011,26.4,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.819863896083,832.819863896083,2247.0256810376,0.0168203932570721,1.98437169196902,-0.00134906494905328,0
stage1,3081,0.00316227766016838,0.749894209332456,0.000632455532033676,0.00105409255338946,0.0824883630265701,197.972071263768,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.820842492546,832.820842492546,2246.95823391181,0.0167186012331462,1.98435038943659,-0.00134091521831392,0
stage1,2435,0.00237137370566166,0.562341325190349,0.000474274741132331,0.000790457901887218,0.0618575457709384,148.458109850252,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.822276364053,832.822276364053,2246.99887845849,0.0167211938446648,1.98434525224151,-0.00134112663029267,0
stage1,2332,0.00237137370566166,0.177827941003892,0.000474274741132331,0.000790457901887218,0.0195610735104281,46.9465764250276,0.2,0.2,-5000000,0.2,0.3,0.0795774715459477,832.823021649493,832.823021649493,2247.02048274589,0.0168021188041274,1.98436682775618,-0.00134760256849979,0
stage1,2383,0.00237137370566166,0.316227766016838,0.000474274741132331,0.000790457901887218,0.0347850542618522,83.4841302284452,0.2,0.5,-5000000,0.2,0.3,0.0795774715459477,832.823800003732,832.823800003732,2247.01244536662,0.0167722019750181,1.98435891104144,-0.00134520848056797,0
stage1,2256,0.00237137370566166,0.0749894209332456,0.000474274741132331,0.000790457901887218,0.00824883630265701,19.7972071263768,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.824436244437,832.824436244437,2247.02595806281,0.016823638196968,1.98437239923755,-0.00134932472522486,0
stage1,2231,0.00237137370566166,0.0562341325190349,0.000474274741132331,0.000790457901887218,0.00618575457709384,14.8458109850252,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.827865015766,832.827865015766,2247.0261658018,0.0168260729180281,1.98437292926509,-0.00134951963901838,0
stage1,2206,0.00237137370566166,0.0421696503428582,0.000474274741132331,0.000790457901887218,0.0046386615377144,11.1327876905146,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.830436228565,832.830436228565,2247.02632158384,0.016827899510986,1.98437332654459,-0.00134966586874472,0
