Model,Scan,XParameter,YParameter,XFactor,YFactor,XValue,YValue,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT,h_mp,h,mp,0.01,73.5642254459641,5.06605918211689,0.000115554415114032,1.21111981129921,-0.165527993620738,1.99743034973926,0.0131880980502006,0
GFM-MWT,h_mp,h,mp,0.01,100,5.06605918211689,0.00015707963267949,1.57441291741749,-0.165490002412247,1.99735442930377,0.0131855727900837,0
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.01,6.88657992577943,1.5707963267949e-08,-0.0199151558350786,-0.0903931784668588,1.99735136122506,0.00720261255978032,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.0135935639087853,6.88657992577943,2.13527202559716e-08,-0.0180763019347348,-0.0903814150980968,1.99737553299784,0.00720158814375484,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.0184784979742229,6.88657992577943,2.90259567425963e-08,-0.0171127606733833,-0.0903663645501183,1.9974084160867,0.00720027044580139,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.0251188643150958,6.88657992577943,3.94566197994119e-08,-0.0165277730496977,-0.0903476460525208,1.99745315995154,0.00719861781078711,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.034145488738336,6.88657992577943,5.36356082867947e-08,-0.0161467584516216,-0.0903254254943058,1.99751405853493,0.00719662803766565,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.0464158883361278,6.88657992577943,7.29099069033116e-08,-0.0158884063255181,-0.0903011975024306,1.99759696712065,0.00719439919138644,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.0630957344480193,6.88657992577943,9.9110547907375e-08,-0.0157087549065543,-0.0902793516529609,1.99770986577775,0.00719225233256046,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.0857695898590894,6.88657992577943,1.34726556701362e-07,-0.0155817329841571,-0.0902702344263089,1.99786360713583,0.00719097265132087,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.116591440117983,6.88657992577943,1.83141405873055e-07,-0.0154908965359333,-0.0902960272342792,1.99807286849824,0.00719227391493505,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.158489319246111,6.88657992577943,2.48954440508015e-07,-0.015425419752673,-0.0904018305637035,1.99835724987112,0.0071996762811443,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.215443469003188,6.88657992577943,3.38417809742158e-07,-0.0153779574220416,-0.0906760649735787,1.99874221486934,0.00722012458073734,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.292864456462524,6.88657992577943,4.60030412460116e-07,-0.0153434145142871,-0.0912864753251932,1.99925891140574,0.00726684777472788,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.398107170553497,6.88657992577943,6.25345281176143e-07,-0.0153182012780626,-0.0925385140824049,1.99994033500949,0.0073640009862545,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.541169526546464,6.88657992577943,8.50067104472518e-07,-0.0152997592396948,-0.0949529497395001,2.00080820676409,0.00755284800035751,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.735642254459641,6.88657992577943,1.15554415114032e-06,-0.0152862491408205,-0.0993153505425881,2.00184135929098,0.00789574866695107,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,1,6.88657992577943,1.5707963267949e-06,-0.0152763408551603,-0.10654057059198,2.00292150142236,0.0084655593483952,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,1.35935639087853,6.88657992577943,2.13527202559716e-06,-0.0152690686010441,-0.117098425804303,2.00379024869442,0.00930036827846054,1
GFM-MWT,h_mp,h,mp,0.0135935639087853,1.84784979742229,6.88657992577943,2.90259567425963e-06,-0.0152637273607719,-0.130091395164528,2.00411962879355,0.0103305129445581,1
