Model,Scan,Value,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT+AD,K_damp,1333333.33333333,-0.0152531637165462,-0.056315918472288,2.00007826709184,0.00448125803427627,1
GFM-MWT+AD,K_damp,1500000,-0.0152502973914298,-0.0530074767009559,2.00040985526311,0.00421729921594183,1
GFM-MWT+AD,K_damp,1666666.66666667,-0.0152474321432857,-0.0497062884242967,2.00073983406655,0.00395400717752256,1
GFM-MWT+AD,K_damp,1833333.33333333,-0.0152445679738718,-0.0464123296298142,2.001068221569,0.00369137907155451,1
GFM-MWT+AD,K_damp,2000000,-0.0152417048821736,-0.0431255759408326,2.00139503555711,0.00342941203579554,1
GFM-MWT+AD,K_damp,2166666.66666667,-0.0152388428670674,-0.0398460026377101,2.00172029354293,0.00316810319465998,1
GFM-MWT+AD,K_damp,2333333.33333333,-0.0152359819264298,-0.0365735846812916,2.00204401276798,0.00290744966083804,1
GFM-MWT+AD,K_damp,2500000,-0.0152331220643385,-0.0333082967347351,2.00236621020915,0.00264744853678687,1
GFM-MWT+AD,K_damp,2666666.66666667,-0.0152302632743783,-0.0300501131771359,2.00268690258258,0.00238809691557689,1
GFM-MWT+AD,K_damp,2833333.33333333,-0.0152274055614551,-0.0267990081317279,2.00300610634905,0.00212939188289889,1
GFM-MWT+AD,K_damp,3000000,-0.0152245489201422,-0.0235549554738788,2.00332383771818,0.00187133051747054,1
GFM-MWT+AD,K_damp,3166666.66666667,-0.0152216933538203,-0.0203179288570119,2.00364011265292,0.00161390989287124,1
GFM-MWT+AD,K_damp,3333333.33333333,-0.0152188388573854,-0.0170879017224714,2.00395494687437,0.00135712707810477,1
GFM-MWT+AD,K_damp,3500000,-0.0138648473220567,-0.0138648473220567,2.00426835586565,0.00110097913917314,1
GFM-MWT+AD,K_damp,3666666.66666667,-0.0106487387280949,-0.0106487387280949,2.00458035487636,0.000845463139663868,1
GFM-MWT+AD,K_damp,3833333.33333333,-0.00743954884868969,-0.00743954884868969,2.00489095892722,0.000590576141752423,1
GFM-MWT+AD,K_damp,4000000,-0.00423725044508783,-0.00423725044508783,2.00520018281326,0.000336315207376999,1
GFM-MWT+AD,K_damp,4166666.66666667,-0.00104181614257883,-0.00104181614257883,2.00550804110858,8.2677398902871e-05,1
GFM-MWT+AD,K_damp,4333333.33333333,0.00214678053162243,0.00214678053162243,2.00581454802945,-0.000170340138733116,0
GFM-MWT+AD,K_damp,4500000,0.00532856920391178,0.00532856920391178,2.00611971799638,-0.000422740499992636,0
GFM-MWT+AD,K_damp,4666666.66666667,0.00850357658846157,0.00850357658846157,2.00642356480747,-0.00067452653759979,0
GFM-MWT+AD,K_damp,4833333.33333333,0.0116718304799066,0.0116718304799066,2.00672610219137,-0.000925701179576345,0
GFM-MWT+AD,K_damp,5000000,0.0148333604516379,0.0148333604516379,2.00702734390506,-0.00117626748459671,0
